visitor,total,items,itemTypes,visits,visitsNonPurchase,category,type,site
102348,81.28,2,2,4,2,Cat46,none,www.site1.com
102349,140.42,10,5,6,1,Cat12,none,www.site1.com
102350,92.59,3,3,4,1,Cat13,Type2,www.site3.com
102351,152.46,7,7,8,1,Cat12,none,www.site1.com
102352,83.15,7,5,6,1,Cat12,none,www.site1.com
102353,57.94,2,2,3,1,Cat51,none,www.site1.com
102354,71.74,5,5,7,2,none,none,www.site1.com
102355,59.52,2,1,2,1,Cat60,none,www.site1.com
102356,87.0,13,10,11,1,Cat3,Type1,www.site2.com
102357,25.91,3,3,4,1,Cat17,none,www.site1.com
102358,14.99,1,1,2,1,none,none,www.site1.com
102359,57.33,1,1,2,1,Cat3,Type1,www.site2.com
102360,92.15,5,3,4,1,Cat25,none,www.site1.com
